Modelo,Tratamiento,Normal,Loss,Loss1,Loss2,Percentil,Accuracy,F1-Score,Precision,AUC-ROC,Recall
Model1,ELIMINACION,STANDARD,mse,MAE,MAE,99.9,0.993808517064331,0.9375951293759512,0.9777777777777777,0.9497350728200543,0.9005847953216374
Model2,ELIMINACION,STANDARD,mse,MAE,MAE,99.9,0.9962247055270311,0.9622926093514329,0.9937694704049844,0.9662150333370579,0.9327485380116959
Model3,ELIMINACION,STANDARD,mse,MAE,MAE,99.9,0.9953186348535186,0.9535232383808095,0.9784615384615385,0.9643549558609901,0.9298245614035088
Model4,ELIMINACION,STANDARD,mse,MAE,MAE,99.9,0.9972817879794624,0.9733727810650888,0.9850299401197605,0.980596062874809,0.9619883040935673
Model1,ELIMINACION,STANDARD,mse,MAE,MAE,99.5,0.9922983992751434,0.9259796806966618,0.9193083573487032,0.9641449696427906,0.9327485380116959
Model2,ELIMINACION,STANDARD,mse,MAE,MAE,99.5,0.9963757173059499,0.9646017699115044,0.9732142857142857,0.9773536149290424,0.956140350877193
Model3,ELIMINACION,STANDARD,mse,MAE,MAE,99.5,0.9936575052854123,0.94,0.9189944134078212,0.9786852348493313,0.9619883040935673
Model4,ELIMINACION,STANDARD,mse,MAE,MAE,99.5,0.9962247055270311,0.9641319942611191,0.9464788732394366,0.9897153313219355,0.9824561403508771
Model1,ELIMINACION,STANDARD,mse,MAE,MAE,99,0.9906372697070371,0.9134078212290503,0.8743315508021391,0.974328137222036,0.956140350877193
Model2,ELIMINACION,STANDARD,mse,MAE,MAE,99,0.9951676230745998,0.9548022598870056,0.9234972677595629,0.9919227474205684,0.9883040935672515
Model3,ELIMINACION,STANDARD,mse,MAE,MAE,99,0.9897311990335246,0.9068493150684931,0.8530927835051546,0.9793799120944611,0.9678362573099415
Model4,ELIMINACION,STANDARD,mse,MAE,MAE,99,0.9936575052854123,0.9418282548476454,0.8947368421052632,0.9938913100160166,0.9941520467836257
Model1,ELIMINACION,STANDARD,mse,MSE,MSE,99.9,0.9933554817275747,0.9323076923076923,0.9837662337662337,0.9425843669683762,0.8859649122807017
Model2,ELIMINACION,STANDARD,mse,MSE,MSE,99.9,0.9927514346118997,0.9256965944272445,0.9835526315789473,0.9367364137520021,0.8742690058479532
Model3,ELIMINACION,STANDARD,mse,MSE,MSE,99.9,0.9963757173059499,0.963855421686747,0.9937888198757764,0.9676770216411517,0.935672514619883
Model4,ELIMINACION,STANDARD,mse,MSE,MSE,99.9,0.9974327997583812,0.9748892171344165,0.9850746268656716,0.9820580511789025,0.9649122807017544
Model1,ELIMINACION,STANDARD,mse,MSE,MSE,99.5,0.9936575052854123,0.9380530973451328,0.9464285714285714,0.9634791596826461,0.9298245614035088
Model2,ELIMINACION,STANDARD,mse,MSE,MSE,99.5,0.9903352461491997,0.904191616766467,0.9263803680981595,0.9396096398107796,0.8830409356725146
Model3,ELIMINACION,STANDARD,mse,MSE,MSE,99.5,0.9966777408637874,0.9676470588235294,0.9733727810650887,0.9802775915372295,0.9619883040935673
